PE_chromosome	PE_start	PE_end	PE_identifier	Cassette_Yan_2015_Class	gene_symbol	alt_gene_list	element_chromosome	element_start	element_end	element_identifier	MIM_number	MIM_phenotypes	SFARI_genetic_category	SFARI_gene_score	SFARI_syndromic
chr1	1022734	1022781	PE_1_of_1_in_NM_198576.4_intron_1_0_chr1_1022463_f	NMD_in	AGRN	AGRN, CMS8	chr1	1022462	1035276	NM_198576.4_intron_1_0_chr1_1022463_f	103320	Myasthenic syndrome, congenital, 8, with pre- and postsynaptic defects, 615120 (3), Autosomal recessive	NA	NA	NA
chr1	1042690	1042747	PE_1_of_1_in_NM_198576.4_intron_6_0_chr1_1042163_f	NMD_in	AGRN	AGRN, CMS8	chr1	1042162	1043238	NM_198576.4_intron_6_0_chr1_1042163_f	103320	Myasthenic syndrome, congenital, 8, with pre- and postsynaptic defects, 615120 (3), Autosomal recessive	NA	NA	NA
chr1	1392789	1392802	PE_1_of_1_in_NM_030937.6_intron_5_0_chr1_1390866_r	NMD_in	CCNL2	CCNL2	chr1	1390865	1393395	NM_030937.6_intron_5_0_chr1_1390866_r	613482	NA	NA	NA	NA
chr1	1617562	1617714	PE_1_of_1_in_NM_001170687.4_intron_1_0_chr1_1616615_f	NMD_in	MIB2	MIB2	chr1	1616614	1623430	NM_001170687.4_intron_1_0_chr1_1616615_f	611141	NA	NA	NA	NA
chr1	1657255	1657301	PE_1_of_1_in_NM_033486.3_intron_17_0_chr1_1655485_r	NMD_in	CDK11B	CDK11B, CDC2L1, P58, CDK11	chr1	1655484	1657374	NM_033486.3_intron_17_0_chr1_1655485_r	176873	NA	NA	NA	NA
chr1	5866766	5866899	PE_1_of_1_in_NM_015102.5_intron_4_0_chr1_5866459_r	NMD_in	NPHP4	NPHP4, SLSN4	chr1	5866458	5867029	NM_015102.5_intron_4_0_chr1_5866459_r	607215	Senior-Loken syndrome 4, 606996 (3), Autosomal recessive; Nephronophthisis 4, 606966 (3), Autosomal recessive	NA	NA	NA
chr1	6234404	6234510	PE_1_of_1_in_NM_012405.4_intron_2_0_chr1_6233644_r	NMD_in	ICMT	ICMT	chr1	6233643	6234885	NM_012405.4_intron_2_0_chr1_6233644_r	605851	NA	NA	NA	NA
chr1	6282723	6282743	PE_1_of_1_in_NM_007274.4_intron_1_0_chr1_6281287_r	NMD_in	ACOT7	ACOT7, BACH, LACH	chr1	6281286	6294863	NM_007274.4_intron_1_0_chr1_6281287_r	602587	NA	NA	NA	NA
chr1	7787197	7787245	PE_1_of_1_in_NM_001377275.1_intron_3_0_chr1_7786837_f	NMD_in	PER3	PER3, FASPS3	chr1	7786836	7788044	NM_001377275.1_intron_3_0_chr1_7786837_f	603427	?Advanced sleep phase syndrome, familial, 3, 616882 (3), Autosomal dominant	NA	NA	NA
chr1	11653390	11653457	PE_1_of_1_in_NM_012168.6_intron_4_0_chr1_11650835_r	NMD_in	FBXO2	FBXO2, FBX2, FBG1, NFB42	chr1	11650834	11654318	NM_012168.6_intron_4_0_chr1_11650835_r	607112	NA	NA	NA	NA
