HGNC ID	Approved symbol	Previous symbols	Alias symbols	Chromosome	Accession numbers	Alias names	Previous name
HGNC:5	A1BG			19q13.43
HGNC:37133	A1BG-AS1	NCRNA00181, A1BGAS, A1BG-AS	FLJ23569	19q13.43	BC040926		"non-protein coding RNA 181", "A1BG antisense RNA (non-protein coding)", "A1BG antisense RNA 1 (non-protein coding)"
HGNC:24086	A1CF		ACF, ASP, ACF64, ACF65, APOBEC1CF	10q11.23	AF271790
HGNC:6	A1S9T
HGNC:7	A2M		FWP007, S863-7, CPAMD5	12p13.31	BX647329, X68728, M11313
HGNC:27057	A2M-AS1			12p13.31			"A2M antisense RNA 1 (non-protein coding)", "A2M antisense RNA 1"
HGNC:23336	A2ML1	CPAMD9	FLJ25179, p170	12p13.31	AK057908		"C3 and PZP-like, alpha-2-macroglobulin domain containing 9"
HGNC:41022	A2ML1-AS1			12p13.31			"A2ML1 antisense RNA 1 (non-protein coding)"
HGNC:41523	A2ML1-AS2			12p13.31			"A2ML1 antisense RNA 2 (non-protein coding)"
HGNC:8	A2MP1	A2MP		12p13.31	M24415		"alpha-2-macroglobulin pseudogene"
HGNC:9	A2MR
HGNC:10	A2MRAP
HGNC:30005	A3GALT2	A3GALT2P	IGBS3S, IGB3S	1p35.1		"iGb3 synthase", "isoglobotriaosylceramide synthase"	"alpha 1,3-galactosyltransferase 2, pseudogene"
HGNC:18149	A4GALT	P1	A14GALT, Gb3S, P(k)	22q13.2		"Gb3 synthase", "CD77 synthase", "globotriaosylceramide synthase", "lactosylceramide 4-alpha-galactosyltransferase"	"alpha 1,4-galactosyltransferase (globotriaosylceramide synthase, P blood group)", "P one antigen (P blood group)"
HGNC:17968	A4GNT		alpha4GnT	3q22.3	AF141315
HGNC:1	A12M1
HGNC:2	A12M2
HGNC:3	A12M3
HGNC:4	A12M4
HGNC:11	AA	AA		11p15			"atrophia areata, peripapillary chorioretinal degeneration"
