chrom	chromStart	chromEnd	gene symbol	strand	known	UCSC_cassette	NR	Under selection	UI len	exon len	DI len	minEvi (noEST)	inclusion	match known exon	overlap known exon	overlap CDS	AG/GU in hg19	hg19.cass	NMD classification	intron.phyloP	wobble.phyloP	GMM FDR
chr17	6603486	6606735	Dynlt1f	+	1		1	0	2196	220	667	11	0.026333558	1	1	NA	1		NMD_in	0.0150925	-0.157904	0.791
chr17	6650102	6653352	Dynlt1f	-	1		1	0	2197	220	667	0	0	1	1	NA	1		NMD_in	-0.05425	-0.184123	0.818
chrX	168671794	168673838	Msl3	-	1		1	0	1382	83	372	514	0.346838119	1	1	1	1		NMD_in	0.5968125	1.3717	0.16
chr11	104302360	104306758	Mapt	+	1		1	1	2902	97	1216	207	0.004294172	1	1	1	1	CA-sr-chr17f-2667[INC][57|231/23173]	NMD_in	0.635045	1.63282	0.0933
chr12	8931627	8934772	Laptm4a	+	1		1	0	2255	283	409	487	0.013847162	1	1	NA	1		NMD_in	-0.10134	-0.183516	0.828
chr16	97451474	97455228	Mx1	-	1	cassetteExon_4255	1	0	866	199	2473	0	NA	1	1	1	1		NMD_in	-0.2490625	0.121712	0.792
chr1	66934245	66935334	Myl1	-	1	cassetteExon_199	1	1	733	25	244	0	NA	1	1	1	1	CA-4632-14630-15379-15404-15656[INC][3/1][UPT]	NMD_in	0.97406	1.73775	0.0017
chr1	66930185	66934542	Myl1	-	1	cassetteExon_198	1	1	244	28	3916	0	0.688311688	1	1	1	1	CA-4632-15404-15656-15684-19608[INC][4/200]	NMD_in	1.07239	1.98478	0.000292
chr10	128492601	128493566	Myl6	-	1		1	0	185	20	588	483	0.006758199	1	1	NA	1	CA-4637-3451-3641-3660-4326[INC][27/1351]	NMD_in	0.512339	0.969429	0.3
chr11	79463232	79468875	Nf1	+	1	cassetteExon_1745	1	0	4818	41	562	6	0.027355623	1	1	NA	1		NMD_in	0.415655	0.3265	0.363
chr11	4808256	4816165	Nf2	-	1		1	0	7247	139	370	131	0.015926846	1	1	NA	1		NMD_in	0.4854025	0.699936	0.325
chr3	135626594	135655598	Nfkb1	-	1	cassetteExon_7165	1	0	16343	17	12396	132	0.16097561	1	1	NA	1	CA-sr-chr4f-1987[INC][89|93/319]	NMD_in	0.8572025	1.06517	0.00791
chr12	70020833	70025481	Nin	-	1	cassetteExon_2229	1	1	3038	61	1249	272	0.892149088	1	1	NA	1	CA-51199-98606-103138-103199-104398[INC][5/31]	NMD_in	0.715806	1.82838	0.036
chr9	121729635	121731565	Nktr	+	1	cassetteExon_11603	1	1	316	28	1453	648	0.414649682	1	1	1	1	CA-4820-22054-22361-22389-23774[INC][11/8]	NMD_in	1.91086	2.48744	5.15E-13
chr9	121731477	121741151	Nktr	+	1	cassetteExon_11605	1	1	6822	28	2706	322	0.218125	1	1	NA	1	CA-4820-23862-29545-29573-32891[INC][7/8]	NMD_in	1.438675	2.41567	1.81E-07
chr13	55276522	55277675	Nsd1	+	1		1	1	632	154	104	76	0.016690707	1	1	NA	1	CA-sr-chr5f-3582[INC][4|2/958]	NMD_in	1.51891	2.35498	3.06E-08
chr2	29889816	29892276	Odf2	+	1	cassetteExon_5710	1	0	844	237	1183	93	0.041328698	1	1	1	1	CA-4957-4101-5043-5283-7412[INC][30/175][UPT]	NMD_in	0.277435	1.55924	0.302
chr2	29892185	29893569	Odf2	+	1	cassetteExon_5712	1	1	724	154	289	901	0.823489078	1	1	1	1	CA-4957-7503-8358-8512-8787[INC][116/133]	NMD_in	0.5810905	1.66558	0.121
chr2	181715689	181718732	Oprl1	+	1	cassetteExon_6682	1	0	555	34	1841	914	0.281203895	1	1	1	1		NMD_in	-0.244505	-0.317727	0.813
chr10	6788808	6829237	Oprm1	+	1		1	0	1836	95	37795	0	0.003773585	1	1	NA	1		NMD_in	0.2838675	0.181258	0.568
chr10	6829976	6979704	Oprm1	+	1	cassetteExon_757	1	0	102469	401	46248	0	NA	1	1	NA	1		NMD_in	0.145235	0.281261	0.774
chr7	143476069	143480522	Slc22a18	+	1		1	0	3414	161	509	0	0.967213115	1	1	1	1		NMD_in	-0.2686425	-0.0656481	0.804
chr10	7647589	7649155	Pcmt1	-	1		1	0	390	194	845	170	0.009290954	1	1	NA	1	CA-5110-24572-25353-25553-26443[INC][4/512]	NMD_in	0.331255	1.57355	0.286
chr9	45926733	45927668	Pcsk7	+	1	cassetteExon_11139	1	0	208	82	456	471	0.250570053	1	1	NA	1	CA-9159-27126-27360-27442-27935[INC][2/24]	NMD_in	0.19926	1.03696	0.618
chr19	4515653	4601735	Pcx	+	1		1	0	24189	208	61512	2	0.00082282	1	1	NA	1		NMD_in	0.0679425	-0.0674143	0.776
chr6	56345125	56369634	Pde1c	-	1	cassetteExon_9011	1	0	7680	116	16592	1	0.991836735	1	1	1	1		NMD_in	0.2746185	0.724316	0.655
chr7	6712672	6716157	Peg3	-	1	cassetteExon_9566	1	0	3041	63	174	430	0.064469017	1	1	NA	1	CA-sr-chr19r-276[INC][27|21/5254]	NMD_in	0.422008	1.361	0.336
chr4	151041271	151042791	Per3	-	1	cassetteExon_8026	1	0	377	49	776	109	0.156313993	1	1	NA	1	CA-8863-5134-5495-5544-6342[INC][2/13]	NMD_in	0.25083	0.6465	0.687
chr10	91121921	91123706	Slc25a3	-	1		1	1	1226	125	163	151	0.003200551	1	1	1	1	CA-sr-chr12f-3244[INC][61|7/22045]	NMD_in	0.8666425	1.9815	0.0058
chr10	91119526	91122331	Slc25a3	-	1		1	0	163	122	2215	174	0.995768045	1	1	1	1	CA-sr-chr12f-3250[INC][7|27508/44]	NMD_in	0.746745	0.981415	0.0372
chr12	73585040	73649355	Prkch	+	1	cassetteExon_2254	1	0	8542	97	55127	0	0	1	1	1	1		NMD_in	0.1976425	-0.0810938	0.609
chr17	24571179	24571696	Pkd1	+	1	cassetteExon_4390	1	0	90	19	100	372	0.690515807	1	1	NA	1	CA-sr-chr16r-3115[INC][8|1582/41]	NMD_in	-0.207317	-0.406167	0.805
chr1	194767370	194780664	Plxna2	+	1		1	0	1807	188	10956	31	0.005508693	1	1	NA	1		NMD_in	0.34541	0.474206	0.54
chr1	165931661	166002634	Pou2f1	-	1	cassetteExon_563	1	0	56559	101	14174	37	0.143576826	1	1	NA	1	CA-5451-3130-85645-85746-114641[INC][22/144][UPT]	NMD_in	0.69068	1.45547	0.0744
chr13	112834858	112857026	Ppap2a	+	1	cassetteExon_2944	1	1	16389	152	5191	130	0.349316978	1	1	1	1	CA-8611-47086-62595-62747-69896[INC][5/8]	NMD_in	0.78304	1.72551	0.0224
chr5	143622533	143684478	Cyth3	+	1		1	0	27853	83	33786	11	0.019896338	1	1	NA	1		NMD_in	0.0711203	0.0907857	0.802
chr13	63534289	63539358	Ptch1	-	1	cassetteExon_2789	1	0	1624	127	3073	486	0.284543326	1	1	NA	1		NMD_in	0.0848425	0.511512	0.799
chr6	38551513	38570604	Luc7l2	+	1	cassetteExon_8901	1	1	3071	84	15446	363	0.121231894	1	1	NA	1	CA-51631-22964-25817-25901-38703[INC][5/143][UPT]	NMD_in	1.7031	2.24714	1.96E-10
chr6	38554979	38570604	Luc7l2	+	1	cassetteExon_8904	1	1	13783	71	1592	87	0.456993269	1	1	1	1	CA-sr-chr7f-3878[INC][12|106/224]	NMD_in	1.586625	2.22465	4.84E-09
chr9	97085056	97093177	Slc25a36	-	1		1	0	2902	82	4969	6	0.019142626	1	1	NA	1	CA-55186-24408-27528-27615-32107[INC][1/22]	NMD_in	0.453448	1.30993	0.323
chr2	167932371	167963718	Ptpn1	+	1	cassetteExon_6583	1	0	19399	124	11548	243	0.040320715	1	1	NA	1		NMD_in	0.15273	0.0782439	0.733
chr7	135537823	135643976	Ptpre	+	1	cassetteExon_10333	1	0	63348	23	42370	12	0.985374771	1	1	1	1		NMD_in	0.0761525	0.648125	0.778
chr12	84615076	84617413	Abcd4	-	1		1	0	1677	119	121	0	1	1	1	1	1		NMD_in	0.14613485	0.365875	0.778
chr18	6765202	6770109	Rab18	+	1		1	0	2311	73	2337	145	0.005778474	1	1	NA	1		NMD_in	0.2024725	0.23064	0.71
chr3	153909545	153910366	Rabggtb	-	1	cassetteExon_7257	1	0	99	98	465	1042	0.142038424	1	1	NA	1		NMD_in	0.589852	0.983667	0.186
chr11	82879184	82882982	Rad51l3	-	1	cassetteExon_1760	1	0	1025	91	2418	3	0.996655518	1	1	1	1	CA-sr-chr17r-3094[INC][1295|2/9]	NMD_in	0.4766465	0.1748	0.197
chr4	119477790	119492592	Rimkla	-	1		1	1	11244	61	2970	213	0.255653884	1	1	NA	1	CA-284716-3301-18643-18704-21607[INC][3/6][UPT]	NMD_in	0.8910975	1.78814	0.00567
chrX	8143847	8144679	Rbm3	-	1		1	1	127	271	227	298	0.012052326	1	1	NA	1	CA-5935-4315-4462-4731-4961[INC][13/565]	NMD_in	1.240275	1.98054	1.22E-05
chr9	107796476	107860459	Rbm6	-	1	cassetteExon_11490	1	0	59575	75	4161	19	0.995107506	1	1	1	1	CA-10180-25642-111201-111276-117291[INC][19/1]	NMD_in	0.51195	0.7572	0.288
chr8	33795081	33806850	Rbpms	-	1		1	0	9713	130	1723	3	0.009009009	1	1	1	1	CA-sr-chr8f-981[INC][10|34/159]	NMD_in	0.086595	0.78586	0.739
