chrom_PE	start_PE	stop_PE	ID	gene	chrom_region	start_region	stop_region	MIM.Number	total_gene_name	Phenotypes	genetic.category	gene.score	syndromic
chr1	1022734	1022781	NMD_in	AGRN	chr1	1022462	1035276	103320	AGRN, CMS8	Myasthenic syndrome, congenital, 8, with pre- and postsynaptic defects, 615120 (3), Autosomal recessive	NA	NA	NA
chr1	1042690	1042747	NMD_in	AGRN	chr1	1042162	1043238	103320	AGRN, CMS8	Myasthenic syndrome, congenital, 8, with pre- and postsynaptic defects, 615120 (3), Autosomal recessive	NA	NA	NA
chr1	1392789	1392802	NMD_in	CCNL2	chr1	1390865	1393395	613482	CCNL2	NA	NA	NA	NA
chr1	1617562	1617714	NMD_in	MIB2	chr1	1616614	1623430	611141	MIB2	NA	NA	NA	NA
chr1	1657255	1657301	NMD_in	CDK11B	chr1	1655484	1657374	176873	CDK11B, CDC2L1, P58, CDK11	NA	NA	NA	NA
chr1	5866766	5866899	NMD_in	NPHP4	chr1	5866458	5867029	607215	NPHP4, SLSN4	Senior-Loken syndrome 4, 606996 (3), Autosomal recessive; Nephronophthisis 4, 606966 (3), Autosomal recessive	NA	NA	NA
chr1	6234404	6234510	NMD_in	ICMT	chr1	6233643	6234885	605851	ICMT	NA	NA	NA	NA
chr1	6282723	6282743	NMD_in	ACOT7	chr1	6281286	6294863	602587	ACOT7, BACH, LACH	NA	NA	NA	NA
chr1	7787197	7787245	NMD_in	PER3	chr1	7786836	7788044	603427	PER3, FASPS3	?Advanced sleep phase syndrome, familial, 3, 616882 (3), Autosomal dominant	NA	NA	NA
chr1	11653390	11653457	NMD_in	FBXO2	chr1	11650834	11654318	607112	FBXO2, FBX2, FBG1, NFB42	NA	NA	NA	NA
chr1	16450124	16450240	NMD_in	NECAP2	chr1	16449201	16451837	611624	NECAP2	NA	NA	NA	NA
chr1	19139797	19139879	NMD_in	UBR4	chr1	19139220	19140787	609890	UBR4, ZUBR1, RBAF600, KIAA1307	NA	NA	NA	NA
chr1	19484189	19484332	NMD_in	CAPZB	chr1	19419750	19485435	601572	CAPZB, CAPPB	NA	NA	NA	NA
chr1	19747477	19747490	NMD_in	TMCO4	chr1	19747260	19755633	NA	NA	NA	NA	NA	NA
chr1	19778653	19778830	NMD_in	TMCO4	chr1	19771482	19780579	NA	NA	NA	NA	NA	NA
chr1	20941258	20941394	NMD_in	EIF4G3	chr1	20904971	20941490	603929	EIF4G3, EIF4GII	NA	NA	NA	NA
chr1	21725342	21725393	NMD_in	USP48	chr1	21724095	21728569	617445	USP48, USP31	NA	NA	NA	NA
chr1	24647078	24647207	NMD_in	SRRM1	chr1	24646789	24648858	605975	SRRM1, SRM160	NA	NA	NA	NA
chr1	24654305	24654342	NMD_in	SRRM1	chr1	24653032	24654854	605975	SRRM1, SRM160	NA	NA	NA	NA
chr1	25244453	25244497	NMD_in	RSRP1	chr1	25243633	25245149	NA	NA	NA	NA	NA	NA
chr1	25447874	25448181	NMD_in	MACO1	chr1	25446903	25448807	610301	TMEM57, FLJ10747	NA	NA	NA	NA
chr1	27330984	27331136	NMD_in	TMEM222	chr1	27330804	27332069	619469	TMEM222, C1orf160, NEDMOSBA	Neurodevelopmental disorder with motor and speech delay and behavioral abnormalities, 619470 (3), Autosomal recessive	NA	NA	NA
chr1	27786590	27786796	NMD_in	STX12	chr1	27773425	27789561	606892	STX12, STX13	NA	NA	NA	NA
chr1	27998283	27998350	NMD_in	EYA3	chr1	27997378	27999959	601655	EYA3	NA	NA	NA	NA
chr1	28561112	28561259	NMD_in	TRNAU1AP	chr1	28560732	28561345	619597	TRNAU1AP	NA	NA	NA	NA
chr1	28989355	28989438	NMD_in	EPB41	chr1	28987905	28993329	130500	EPB41, EL1	Elliptocytosis-1, 611804 (3), Autosomal recessive, Autosomal dominant	NA	NA	NA
chr1	29166728	29166911	NMD_in	SRSF4	chr1	29160517	29181645	601940	SRSF4, SFRS4, SRp75	NA	NA	NA	NA
chr1	29202617	29202666	NMD_in	MECR	chr1	29202045	29203130	608205	MECR, NRBF1, DYTOABG	Dystonia, childhood-onset, with optic atrophy and basal ganglia abnormalities, 617282 (3), Autosomal recessive	NA	NA	NA
chr1	31184976	31185059	NMD_in	NKAIN1	chr1	31184014	31185246	612871	NKAIN1	NA	NA	NA	NA
chr1	31620678	31620693	NMD_in	HCRTR1	chr1	31619710	31620842	602392	HCRTR1, OX1R	NA	NA	NA	NA
chr1	32076563	32076645	NMD_in	TMEM39B	chr1	32075822	32076762	NA	NA	NA	Rare Single Gene Mutation	2	0
chr1	33272503	33272552	NMD_in	ZNF362	chr1	33270612	33276099	NA	NA	NA	NA	NA	NA
chr1	35099350	35099446	NMD_in	ZMYM1	chr1	35097566	35104294	NA	NA	NA	NA	NA	NA
chr1	35368253	35368366	NMD_in	ZMYM4	chr1	35361789	35370028	613568	ZMYM4, ZNF262, KIAA0425	NA	NA	NA	NA
chr1	35559806	35559863	NMD_in	NCDN	chr1	35559247	35560325	608458	NCDN, KIAA0607, NEDIES	Neurodevelopmental disorder with infantile epileptic spasms, 619373 (3), Autosomal dominant	NA	NA	NA
chr1	35616078	35616234	NMD_in	PSMB2	chr1	35609408	35631273	602175	PSMB2	NA	NA	NA	NA
chr1	35982620	35982711	NMD_in	AGO3	chr1	35973511	36004340	607355	AGO3, EIF2C3	NA	Rare Single Gene Mutation	2	0
chr1	36005718	36005857	NMD_in	AGO3	chr1	36004475	36008689	607355	AGO3, EIF2C3	NA	Rare Single Gene Mutation	2	0
chr1	36284087	36284304	NMD_in	THRAP3	chr1	36282700	36286367	603809	THRAP3, TRAP150	NA	NA	NA	NA
chr1	36288548	36288756	NMD_in	THRAP3	chr1	36287270	36289059	603809	THRAP3, TRAP150	NA	NA	NA	NA
